"","X.1","Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","yld4","yld5","yld6","GNDVI_62","NDVI_62","GNDVI_76","NDVI_76","GNDVI_90","NDVI_90","GNDVI_96","NDVI_96","GNDVI_104","NDVI_104","GNDVI_114","NDVI_114","GNDVI_124","NDVI_124","GNDVI_130","NDVI_130","GNDVI_138","NDVI_138","GNDVI_144","NDVI_144","GNDVI_150","NDVI_150","GNDVI_166","NDVI_166","GNDVI_174","NDVI_174","GNDVI_180","NDVI_180","GNDVI_188","NDVI_188","GNDVI_194","NDVI_194","GNDVI_200","NDVI_200","GNDVI_206","NDVI_206","GNDVI_216","NDVI_216","GNDVI_222","NDVI_222","GNDVI_228","NDVI_228","GNDVI_236","NDVI_236","GNDVI_240","NDVI_240","GNDVI_256","NDVI_256","GNDVI_264","NDVI_264","GNDVI_270","NDVI_270","GNDVI_278","NDVI_278","GNDVI_284","NDVI_284","GNDVI_292","NDVI_292","sca_yld1","sca_yld2","sca_yld3","sca_yld4","sca_yld5","sca_yld6","GNDVI_118","GNDVI_152","GNDVI_181","GNDVI_208","GNDVI_245","GNDVI_294","spa_int_yld1","spa_slp_yld1","PEE_114","spa_int_yld2","spa_slp_yld2","PEE_150","spa_int_yld3","spa_slp_yld3","PEE_180","spa_int_yld4","spa_slp_yld4","PEE_206","spa_int_yld5","spa_slp_yld5","PEE_240","spa_int_yld6","spa_slp_yld6","PEE_292"
"1",1,"SW_8421S","1","100","1","1",8.65,4.95,5.6282017794,4.25,7.55,6,0.0328406102927246,0.50529286200493,0.0338316035269794,0.482267331226396,0.186799418230182,0.409757703591083,0.246545043248556,0.516661909870189,0.324351272468279,0.474185409457901,0.260241026248776,0.546104231166151,-0.0288275230503773,0.333463729878541,0.225951884621499,0.478717204408706,0.27041929768546,0.461626668405722,0.306800091539488,0.519151212796554,0.20026691053264,0.435629481534466,0.0890962489898094,0.433431328050914,0.159363680521966,0.405763186,0.298644311074377,0.518068461906339,0.0152061369639757,0.196076809549295,0.102232817790464,0.45362442293373,0.197004707581136,0.443032065146734,0.268708518518311,0.530657021242288,-0.00133642321405265,0.395445782775201,0.133343199922506,0.366470387129211,0.159068236243286,0.454635431201195,0.280881056076038,0.497187168,0.283824594624533,0.474135886912905,0.143850793027699,0.381350054023416,0.211827924530833,0.46675181577651,0.312537968346095,0.526371207963211,0.209837922424466,0.495678319462562,0.177382887306392,0.457540675395347,0.282542400368924,0.473455025659027,0.235321180100541,0.169815944196978,0.200175166470253,0.186989887490952,0.234354120658809,0.270088733095095,0.235321180100541,0.169815944196978,0.200175166470253,0.186989887490952,0.234354120658809,0.270088733095095,0.0261847030197954,0.00433348747238214,0.0336905234631249,-0.0112400938462928,-0.00414285960072599,-0.0184157371320179,-0.00658490881776611,-0.00221440331372463,-0.0104203678488255,-0.0100285647941708,-0.0166473735571258,-0.0388626614816894,0.00654250149668323,0.00211636465999074,0.0102081525991119,0.00342157571090992,-0.00441383244421446,-0.00422340630515769
"2",2,"SW_1011","1","101","1","2",8.25,5.2,5.2720288434,4.2,7.55,5.85,0.0335551686502355,0.526384333784665,0.0138933424177253,0.486025107400164,0.16108875822427,0.385085204734654,0.202789717378782,0.498336105397488,0.279979235161793,0.450736323941341,0.21404378443158,0.529030016329482,-0.0114564293773628,0.210377093195915,0.215111922959321,0.470494608949887,0.276661562601036,0.443445280278429,0.294876639931627,0.4979916753026,0.201771147538461,0.43155176153986,0.0857068729167136,0.439651174403898,0.165513070986968,0.355536675798114,0.278354954696705,0.488315062346626,0.0314563098180548,0.163948951,0.0711278245580892,0.403262691,0.179363998982285,0.424282087336927,0.25587931487308,0.487728727513519,0.0159220215076549,0.27662863610576,0.137061674129616,0.332867223914798,0.164639389397493,0.456729863875375,0.282615655838825,0.518221260811464,0.289729610090972,0.497647567457593,0.131257089134412,0.370238942912305,0.19461228320925,0.466265318627451,0.300957038004688,0.528223687392194,0.19798784684945,0.47694036,0.184181140436236,0.459461391394165,0.265872342259239,0.457084134631271,0.224439275818435,0.17839250703521,0.187507358962542,0.184790006461646,0.234354120658809,0.263336514767717,0.224439275818435,0.17839250703521,0.187507358962542,0.184790006461646,0.234354120658809,0.263336514767717,-0.0049011682249311,-0.00142371463364963,-0.00736711429511566,-0.0130364471019219,-0.00480728354745192,-0.0213629064161129,-0.0190408538402642,-0.00637616547976375,-0.0300846963604214,-0.0128373822964779,-0.0213516563863402,-0.0498195358217636,0.0118690972932981,-0.00146574685098919,0.00933034928744477,0.00132839376244504,-0.00426320317255912,-0.00605569070314852
"3",3,"SW_9813","2","102","1","3",8.1,6.25,5.0111388022,4.55,7.6,6.2,0.0470701671561056,0.522154188188489,0.0135829361003428,0.50092497054035,0.148541835296467,0.393932395698328,0.189873867720608,0.485963157456031,0.263706565799375,0.434959040313503,0.216467942444383,0.534433815315994,0.0079801800828834,0.221944413099121,0.198151056102928,0.466620504073004,0.255663433046702,0.44346133501442,0.278315495426532,0.488874969481137,0.229371472251382,0.457521790547939,0.107402060015218,0.407116334859124,0.179301784891778,0.383472990335735,0.278017087016715,0.488329654563514,0.0336870300807948,0.159419280908844,0.0620004805655065,0.3941242,0.181970812137867,0.42115771765809,0.254036571387711,0.489358516979355,0.0215206494619837,0.25598340398462,0.128479409109168,0.327397888386124,0.163720905844786,0.443487013781792,0.268496885969879,0.49004640158527,0.267745637902828,0.469761436970233,0.117295179946817,0.378423497913221,0.185439405496274,0.454384849486703,0.289148156463085,0.541668914035447,0.203237327234187,0.488517597171239,0.192805584872196,0.468163162700978,0.283191185872799,0.476864751015496,0.220358561712645,0.214414070955781,0.178228425925921,0.200189173666784,0.235906134702907,0.279091690864931,0.220358561712645,0.214414070955781,0.178228425925921,0.200189173666784,0.235906134702907,0.279091690864931,0.000211200977696944,-0.000380199732730275,-0.000447324273538314,0.000276543571461366,0.00010153880033173,0.000452413931806979,-0.0127402183982397,-0.0043394654850978,-0.0202563930632757,-0.00914453733025723,-0.0152077445532463,-0.0354851234499032,0.0130600441930024,-0.00238993396862752,0.00892055715069391,-0.000904621185097446,-0.00208387761932663,-0.00451400308275423
"4",4,"DONA_ANA","2","103","1","4",7.2,5.5,5.1393579382,4.35,6.65,5.85,0.029870457848085,0.532223355304067,0.0112411776777579,0.505515270046638,0.122051048578054,0.395501331220512,0.183186511677547,0.486750517506651,0.251531651129348,0.439575429746668,0.190215721725282,0.519088028076792,-0.0337281913372323,0.342362219392187,0.196808007271335,0.463485254792699,0.251246586389303,0.445642511031104,0.279134374248904,0.496727579920857,0.225448518760485,0.460876754,0.117799656286599,0.41551412261107,0.189720243163176,0.401091848150672,0.278274693865172,0.497289114520104,0.0419770219463839,0.170132035147515,0.0672201041780616,0.40109089103996,0.179615259971791,0.437644910553863,0.253097691804676,0.495551272740815,0.0299741340852103,0.232981023655342,0.14246209433753,0.338474157667971,0.184127052892509,0.458146924187902,0.267265511355966,0.498107266643395,0.27292030187504,0.489623865110246,0.142387918538546,0.39571707308537,0.20056523061545,0.484986404718137,0.321060943680901,0.555711565707858,0.206154306760843,0.500934297694444,0.178660288385246,0.460104186470969,0.252846326262247,0.456123141449093,0.195874277077907,0.188684382441087,0.182788725627224,0.191389649549562,0.206417867865044,0.263336514767717,0.195874277077907,0.188684382441087,0.182788725627224,0.191389649549562,0.206417867865044,0.263336514767717,-0.00199454355230631,-0.000941993742197136,-0.00362612456707385,0.00374831615419159,0.00138453774356937,0.0061464058605711,0.00040043245290406,-3.23229944040415e-06,0.000394833946072468,-0.0107753725733288,-0.0179402963217528,-0.0418488771696578,0.0179239268884191,-0.00174169857606048,0.0149072164763947,0.00688298669235529,-0.00530270850442044,-0.00230157381489293
"5",5,"NM1715PAR","3","104","1","5",3.85,3.55,3.1241909342,2.6,5.3,4.5,-0.057163995792802,0.536258318629103,-0.0650010365639794,0.501394492815177,0.0290581928600232,0.335390552552616,0.0936899551266796,0.460989020001509,0.169164121490995,0.379692902802147,0.114139590295786,0.44612424555149,-0.00244658492275714,0.327746342896344,0.090321961373115,0.441030664347278,0.155372945531034,0.330306653,0.190198551909036,0.451355919496752,0.138286061614684,0.41958517285116,0.0724576843109021,0.418901806524213,0.13100459511669,0.328259165,0.23295636846682,0.443908325056101,0.0421816764755843,0.167779927220155,-0.00128868379286425,0.366540580789278,0.101505004322728,0.393254657699929,0.164619930093668,0.44039369602621,0.00879447547761924,0.199003295778512,0.081842014156992,0.306940372046254,0.135409709686406,0.394889917015495,0.224732410859339,0.46080056065065,0.246797403812962,0.473711341173468,0.0707617291038527,0.340406345,0.133219391163441,0.427203068382082,0.279378520558699,0.50934192319921,0.213373432001777,0.498015201284351,0.171728368869936,0.451260250706617,0.278856406177343,0.485532524435457,0.10473832871527,0.121787192302883,0.111116385810356,0.114393813523876,0.164513488674396,0.202566549821321,0.10473832871527,0.121787192302883,0.111116385810356,0.114393813523876,0.164513488674396,0.202566549821321,-0.0383738403908124,-0.00762169365950344,-0.0515750009911102,-0.0347875112765638,-0.0128018328044572,-0.0569609360269901,-0.030970789211409,-0.0103961167058679,-0.0489773914687008,-0.0181304093924563,-0.0301368851348245,-0.0703290253997371,0.0112505638917613,-0.000811888723298826,0.00984433137906062,0.00293520764508786,-0.00324886219198315,-0.00269198671362631
"6",6,"NM170506PAR","3","105","1","6",5.1,4.65,4.7782899642,4,6.45,5.45,-0.0119042032837206,0.521662905571436,-0.0379905400143868,0.48444705382684,0.0344764886975302,0.334900997166249,0.115192358649716,0.465778129890069,0.181364043086297,0.38756024468611,0.143627719228327,0.478585630056218,0.00707917274560244,0.287568444752524,0.147468435192009,0.455452721810324,0.190336660898777,0.379449993834012,0.247201726262611,0.471233992380407,0.207380355538823,0.452189734659936,0.113649842980783,0.370484109726396,0.180408681420868,0.397844156014091,0.288210789796162,0.493979899,0.0482901540975771,0.167922363320845,0.064478102747849,0.329151802045611,0.150172937198906,0.427288748832866,0.246644339840902,0.461344092818886,0.0388723289373442,0.176115611409729,0.119784200106816,0.331970659343521,0.154087969551315,0.450396186544793,0.253409555715274,0.502666328174859,0.271120754800878,0.501600303246957,0.109931042386965,0.387651132720478,0.167942832343772,0.465664657562117,0.304514122115395,0.538502624946937,0.217896879152566,0.526272011,0.163854821988111,0.456486697243,0.280541232470649,0.47157297360547,0.138744279596851,0.159524068791101,0.169946818987155,0.175990482344425,0.200209811688651,0.245330599228044,0.138744279596851,0.159524068791101,0.169946818987155,0.175990482344425,0.200209811688651,0.245330599228044,-0.0388758182642376,-0.00758868244849193,-0.052019801770094,-0.0226457109825147,-0.00833612058908558,-0.0370842953177369,-0.00965711909902964,-0.00333137448028186,-0.0154272289327014,-0.013862588163209,-0.0230915624030369,-0.053858347296639,0.0152747773723805,-0.00414135150779507,0.00810174618022287,0.00237572554483781,-0.00421037026200007,-0.00491684963575563
"7",7,"NM1704PAR","4","106","1","7",5.45,5.15,4.5367336588,3.9,5.95,5.6,-0.0346002748752517,0.521731441084533,-0.0398946194267045,0.455283252260836,0.0459882383702121,0.342958890010073,0.10914123112975,0.465084081477886,0.180589516992419,0.388454474927226,0.143107258646913,0.487622360594149,0.00488105817516805,0.384260348882405,0.120762906205858,0.438405451050094,0.197960902446872,0.383288045447299,0.244900696506764,0.4963245750789,0.217752911658345,0.470243674536084,0.0910292837386727,0.395269159153903,0.176692444322638,0.400882446045845,0.300745398664641,0.514334694478167,0.0429869802277006,0.170537615119658,0.0410191528298967,0.332430876147927,0.142896253195969,0.421840856974188,0.257863664468833,0.473658536585366,0.038006458183944,0.166802714960996,0.111601511392626,0.328968124685772,0.165844186305512,0.48045452987687,0.245321419217539,0.496410047565151,0.265095474742971,0.505407816198488,0.0861059350700493,0.343765825830555,0.17325167197875,0.45214537377451,0.309912632668781,0.533327400279752,0.223640833858172,0.542249222191885,0.180925466224541,0.478340053970306,0.291402991241684,0.495994005960996,0.148265945843694,0.176677194467563,0.161355518330102,0.171590720285815,0.184689671247671,0.252082817555422,0.148265945843694,0.176677194467563,0.161355518330102,0.171590720285815,0.184689671247671,0.252082817555422,-0.0236454886290899,-0.00461232902086822,-0.031634276799548,-0.0188495219574706,-0.00693602363820865,-0.0308630672488488,-0.0134558757478416,-0.00457508164849783,-0.0213801495771876,-0.0142877771903743,-0.0238244951224626,-0.0555530130268318,0.0100545809081599,-0.000670362148117202,0.00889347961322383,0.0105436942969233,-0.00405365058734825,0.00352256555418633
"8",8,"NM1712PAR","4","107","1","8",3.7,3.4,3.2349250888,2.9,4.85,4.3,-0.0929553940798541,0.5311846983485,-0.0830321584428994,0.467783093700423,0.0222325069382014,0.327377111607096,0.0642697951732166,0.455966663058062,0.159599021458694,0.371260366891855,0.133731926261425,0.462904401172742,0.0114507390611948,0.365072533,0.0932734259641822,0.426528291477372,0.190332146753842,0.343163061819297,0.209009808377812,0.453323689573153,0.181944131053765,0.427056204720501,0.0379558967578695,0.396205201531921,0.130771657807389,0.345313006750915,0.262379298811054,0.458579075157267,0.0407875134191225,0.171951214503397,0.0086345860796446,0.360350856291884,0.104580809451492,0.401595276999689,0.215805085326964,0.448463676658403,0.0272337158806135,0.179055854378666,0.0860211496401397,0.328284849541001,0.160464758223187,0.440502117451225,0.222202092616636,0.473782928024653,0.231531840357676,0.476878170159824,0.0780848093790115,0.337880673018873,0.162475196078305,0.438745482340508,0.270293054504258,0.501879466,0.200508183138875,0.504791742137501,0.157550736208621,0.452382726846395,0.260108131677197,0.471968306504187,0.10065761460948,0.116641254599945,0.115054806766074,0.127593099699708,0.150545362277513,0.193563592051484,0.10065761460948,0.116641254599945,0.115054806766074,0.127593099699708,0.150545362277513,0.193563592051484,-0.0389633325544238,-0.00733264882639374,-0.0516638528202981,-0.0465837614488442,-0.0171510160638013,-0.0762901925429642,-0.0400307515067538,-0.0133198504883134,-0.0631014092009175,-0.0205138304201756,-0.0340874176362455,-0.0795549694069687,0.000738739835180746,-0.00313258144610746,-0.00468705036461483,6.62172610919079e-05,-0.00498082025475889,-0.00856081644581944
"9",9,"NUMEX_BILL_MELTON","4","108","2","8",6.15,5.55,4.4770782048,4.35,6.15,5.5,-0.0696491063944592,0.531500091937883,-0.0212522164650473,0.465120357762982,0.0439001908987176,0.353965109888149,0.119113813245988,0.468231324653,0.185113823151737,0.391167030537705,0.191915845132087,0.47969675155504,-0.0186072098833915,0.37062441675309,0.106571305178067,0.436743536344259,0.184435100048304,0.383190585916554,0.229705320119051,0.477566741595737,0.245990050769776,0.475057408590866,0.0206577746336793,0.422134346703531,0.120408859164682,0.346853916050473,0.277802089408177,0.48185955990834,0.0119856496375506,0.171798318169286,-0.00569715249649348,0.396729709605361,0.117457159228356,0.401916238717709,0.237412574144694,0.480654269212375,0.0296583909486107,0.16903634647466,0.0690949685334101,0.329588134741076,0.172927091629391,0.428337117303062,0.238464216568105,0.469003720891342,0.228990097916672,0.445209129684987,0.0486119255958969,0.328410825938325,0.156779426772328,0.41283873314951,0.278401343207508,0.50264268040761,0.201747458216674,0.476441857269559,0.167876998634528,0.448978052759565,0.262190343931982,0.459054171044893,0.167309278337379,0.190399695008733,0.159233785509681,0.191389649549562,0.190897727424063,0.247581338670503,0.167309278337379,0.190399695008733,0.159233785509681,0.191389649549562,0.190897727424063,0.247581338670503,-0.00623165917477659,-0.00119054503480757,-0.00829374365475108,-0.0165911127184375,-0.00609984397568798,-0.027156352356403,-0.0196942229836652,-0.00651815659517387,-0.0309840013288614,-0.00850347022354905,-0.0141311828062687,-0.032979396708093,0.0106023671332448,-0.00145426207930408,0.00808351133537649,0.0122845034374881,-0.00536568130806375,0.00299087083531123
"10",10,"NUMEX_BILL_MELTON","4","109","2","7",4.95,4.6,3.9865131968,3.7,5.7,5.6,-0.0671238707592469,0.516240600257016,-0.0342603205980691,0.45164719255136,0.00282264594672618,0.330002186092923,0.0862726771599999,0.455462114576465,0.143716890878126,0.364416673532158,0.160534611712832,0.434316083224143,-0.0463870140129258,0.398458347438729,0.0886035501969586,0.430470314262177,0.150077839889962,0.351849345352499,0.205611154973761,0.46287557758146,0.207258768225367,0.446375197143544,0.043681105777225,0.39897614802641,0.119031624890818,0.335858773304971,0.263157709641382,0.464081043299121,0.0284186127632254,0.157625656077668,0.00923790088001991,0.365775725986597,0.131135325120389,0.389059057886103,0.213375474207127,0.457528768093965,0.0245956924894572,0.157133440060269,0.0655530619719509,0.324588223275826,0.140791693386589,0.421035862035201,0.232184536739947,0.453675076995973,0.214539097678342,0.426711388787633,0.0426105852839617,0.329561557777953,0.15295152590964,0.421076100133093,0.280346595683503,0.518902222682313,0.212269815110197,0.496080013657619,0.178915496549465,0.455133317278646,0.286544474628507,0.485777414281221,0.134663565491061,0.157808756223455,0.141786128870876,0.162791196168593,0.17692960102718,0.252082817555422,0.134663565491061,0.157808756223455,0.141786128870876,0.162791196168593,0.17692960102718,0.252082817555422,-0.0330140029940206,-0.00643937677985552,-0.0441673306970708,-0.0373712416198836,-0.0137447677515406,-0.0611778775997537,-0.0267838482294728,-0.00896699319104465,-0.0423151359596162,-0.014951277005425,-0.0248589262945763,-0.058008200181087,-0.000276840530915152,-0.00436417227818027,-0.00783580861667511,0.0150115434992929,-0.00270948337548886,0.0103185806511907
